stage,level_title,level_code,grammar_point
小学阶段,L5（五年级上册）,L5,there be句型（肯定/否定/疑问）
小学阶段,L5（五年级上册）,L5,特殊疑问句（when/whose/how）
小学阶段,L5（五年级上册）,L5,名词复数不规则变化
小学阶段,L5（五年级下册）,L5,序数词（1-31）
小学阶段,L5（五年级下册）,L5,现在进行时（各种句式）
小学阶段,L5（五年级下册）,L5,情态动词must（表必须）
小学阶段,L5（五年级下册）,L5,介词in/on/at表时间（季节/月份/日期）
小学阶段,L5（五年级下册）,L5,物主代词综合运用
小学阶段,L5（五年级下册）,L5,特殊疑问句（which/whose）
小学阶段,L5（五年级下册）,L5,否定式祈使句（Don't...）
小学阶段,L5（五年级下册）,L5,现在进行时与一般现在时的区别
小学阶段,L6（六年级上册）,L6,一般将来时（be going to结构）
小学阶段,L6（六年级上册）,L6,动名词（like doing/enjoy doing）
小学阶段,L6（六年级上册）,L6,动词不定式（want to do/plan to do）
小学阶段,L6（六年级上册）,L6,情态动词should（表建议）综合
小学阶段,L6（六年级上册）,L6,介词by表交通方式
小学阶段,L6（六年级上册）,L6,一般现在时第三人称单数综合
小学阶段,L6（六年级上册）,L6,特殊疑问句（how/where/when）
小学阶段,L6（六年级上册）,L6,简单宾语从句（I think...）
小学阶段,L6（六年级下册）,L6,形容词/副词比较级（规则/不规则变化）
小学阶段,L6（六年级下册）,L6,一般过去时（规则/不规则动词过去式）
小学阶段,L6（六年级下册）,L6,一般过去时（肯定/否定/疑问句式）
小学阶段,L6（六年级下册）,L6,there be句型过去式（there was/were）
小学阶段,L6（六年级下册）,L6,情态动词could（表过去能力）
小学阶段,L6（六年级下册）,L6,一般过去时与一般现在时对比
小学阶段,L6（六年级下册）,L6,现在完成时初步（have/has got）
初中阶段,L7（七年级上册）,L7,be动词综合运用（各种句式）
初中阶段,L7（七年级上册）,L7,指示代词（this/that/these/those）
初中阶段,L7（七年级上册）,L7,人称代词主格+宾格
初中阶段,L7（七年级上册）,L7,形容词性物主代词综合
初中阶段,L7（七年级上册）,L7,名词复数（规则+不规则变化）
初中阶段,L7（七年级上册）,L7,冠词a/an/the基本用法
初中阶段,L7（七年级上册）,L7,介词in/on/at表时间/地点
初中阶段,L7（七年级上册）,L7,一般现在时（be动词+实义动词）
初中阶段,L7（七年级上册）,L7,简单句五种基本句型
初中阶段,L7（七年级上册）,L7,祈使句（肯定/否定）
初中阶段,L7（七年级下册）,L7,现在进行时（各种句式）
初中阶段,L7（七年级下册）,L7,一般过去时（规则/不规则动词）
初中阶段,L7（七年级下册）,L7,情态动词（can/must/have to）
初中阶段,L7（七年级下册）,L7,There be句型（各种时态+句式）
初中阶段,L7（七年级下册）,L7,特殊疑问句（what/who/where/when/how）
初中阶段,L7（七年级下册）,L7,形容词作定语/表语
初中阶段,L7（七年级下册）,L7,副词基本用法
初中阶段,L7（七年级下册）,L7,连词（and/but/or）
初中阶段,L8（八年级上册）,L8,形容词/副词比较级和最高级
初中阶段,L8（八年级上册）,L8,一般将来时（will/be going to）
初中阶段,L8（八年级上册）,L8,情态动词should表建议
初中阶段,L8（八年级上册）,L8,条件状语从句（if）
初中阶段,L8（八年级上册）,L8,时间状语从句（when/before/after）
初中阶段,L8（八年级上册）,L8,动词不定式作宾语/宾语补足语
初中阶段,L8（八年级上册）,L8,动名词作宾语
初中阶段,L8（八年级上册）,L8,不定代词（something/anything/nothing）
初中阶段,L8（八年级下册）,L8,现在完成时（have/has + done）
初中阶段,L8（八年级下册）,L8,过去进行时
初中阶段,L8（八年级下册）,L8,宾语从句（that/if/whether/疑问词）
初中阶段,L8（八年级下册）,L8,被动语态（一般现在/一般过去/一般将来）
初中阶段,L8（八年级下册）,L8,情态动词表推测
初中阶段,L8（八年级下册）,L8,动词不定式作状语/定语
初中阶段,L8（八年级下册）,L8,感叹句（what/how）
初中阶段,L8（八年级下册）,L8,反意疑问句初步
初中阶段,L9（九年级全册）,L9,定语从句（关系代词that/which/who/whom/whose）
初中阶段,L9（九年级全册）,L9,状语从句综合（时间/条件/原因/结果/让步）
初中阶段,L9（九年级全册）,L9,非谓语动词（不定式/动名词/分词）
初中阶段,L9（九年级全册）,L9,情态动词表推测与虚拟
初中阶段,L9（九年级全册）,L9,主谓一致
初中阶段,L9（九年级全册）,L9,直接引语变间接引语
初中阶段,L9（九年级全册）,L9,倒装句初步
初中阶段,L9（九年级全册）,L9,动词时态综合（8种基本时态）
高中阶段,L10（高一上册/必修1）,L10,定语从句（关系代词）
高中阶段,L10（高一上册/必修1）,L10,时态综合（8种基本时态）
高中阶段,L10（高一上册/必修1）,L10,直接引语变间接引语
高中阶段,L10（高一上册/必修1）,L10,被动语态（各种时态）
高中阶段,L10（高一上册/必修1）,L10,情态动词表推测
高中阶段,L10（高一上册/必修1）,L10,动词不定式综合
高中阶段,L10（高一上册/必修1）,L10,介词短语作定语/状语
高中阶段,L10（高一下册/必修2）,L10,定语从句（关系副词when/where/why）
高中阶段,L10（高一下册/必修2）,L10,非谓语动词（不定式/动名词）
高中阶段,L10（高一下册/必修2）,L10,名词性从句（宾语从句/表语从句）
高中阶段,L10（高一下册/必修2）,L10,情态动词与虚拟语气初步
高中阶段,L10（高一下册/必修2）,L10,主谓一致
高中阶段,L10（高一下册/必修2）,L10,倒装句初步
高中阶段,L10（高一下册/必修2）,L10,现在完成进行时
高中阶段,L11（高二上册/必修3）,L11,名词性从句（主语从句/同位语从句）
高中阶段,L11（高二上册/必修3）,L11,非谓语动词（现在分词/过去分词）
高中阶段,L11（高二上册/必修3）,L11,虚拟语气（条件句/宾语从句）
高中阶段,L11（高二上册/必修3）,L11,情态动词完成式
高中阶段,L11（高二上册/必修3）,L11,强调句（It is/was...that...）
高中阶段,L11（高二上册/必修3）,L11,省略句
高中阶段,L11（高二上册/必修3）,L11,状语从句综合
高中阶段,L11（高二下册/必修4）,L11,非谓语动词综合
高中阶段,L11（高二下册/必修4）,L11,倒装句（部分倒装/全部倒装）
高中阶段,L11（高二下册/必修4）,L11,强调句综合
高中阶段,L11（高二下册/必修4）,L11,省略句综合
高中阶段,L11（高二下册/必修4）,L11,状语从句特殊用法
高中阶段,L11（高二下册/必修4）,L11,主谓一致特殊情况
高中阶段,L11（高二下册/必修4）,L11,虚拟语气综合
高中阶段,L12（高三/选择性必修+总复习）,L12,定语从句综合（限制性/非限制性）
高中阶段,L12（高三/选择性必修+总复习）,L12,名词性从句综合
高中阶段,L12（高三/选择性必修+总复习）,L12,非谓语动词综合
高中阶段,L12（高三/选择性必修+总复习）,L12,虚拟语气综合
高中阶段,L12（高三/选择性必修+总复习）,L12,特殊句式（倒装/强调/省略/反意疑问句）
高中阶段,L12（高三/选择性必修+总复习）,L12,时态语态综合
高中阶段,L12（高三/选择性必修+总复习）,L12,主谓一致综合
高中阶段,L12（高三/选择性必修+总复习）,L12,介词与连词综合
